line;num;key_in_map;inferred;dup;also_numbers;topic;file;also_topics;auto_topic;margin;section;first_words
205;29;29;;;;viz;viz-render.md;;viz;0;Архив уроков 19, 26–31 (август, вшиты в код/ADR);[08-02] VLM-косметика вредит — только структурные находки, спорный ре…
206;30;30;;;;viz;viz-render.md;;viz;1;Архив уроков 19, 26–31 (август, вшиты в код/ADR);[08-02] инпейнт только с фото-рефом, большая маска убивает соседей.
207;31;31;;;;catalog;catalog-stock.md;;catalog;1;Архив уроков 19, 26–31 (август, вшиты в код/ADR);[08-02] пригодность товара — по params и мин-размерам роли, не по наз…
210;32;32;;;;devops;devops-deploy.md;catalog;devops;0;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-02] psql глотал ошибку → upsert свежести МОЛЧА откатывался неделя…
211;33;33;;;;catalog;catalog-stock.md;;catalog;1;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-02] Цену LLM-батчей считать ЗАМЕРОМ usage (reasoning = 80% выходн…
212;34;34;;;;catalog;catalog-stock.md;;catalog;1;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-02] Фото товара бывает УПАКОВКОЙ/с текст-принтом (подушка-этикетк…
213;35;35;;;;devops;devops-deploy.md;;devops;3;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-02] pgrep/pkill -f в скриптах ловят СЕБЯ/обёртку харнесса (вечный…
214;36;36;;;;layout;layout-solver.md;;layout;1;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-03] Набор независимых попарных правил НЕ собирает разговорную зон…
215;37;37;;;;devops;devops-deploy.md;;devops;3;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-03] pkill/pgrep -f по имени скрипта ×3 за сессию убивал обёртку х…
216;38;38;;;;catalog;catalog-stock.md;layout;layout;1;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-03] Мусор в роли ловить ГАБАРИТАМИ, не именем: офисное «Кресло ТС…
217;39;39;;;;layout;layout-solver.md;devops;layout;6;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-02] Копия конфига «чтобы был в git» = ДИВЕРГЕНЦИЯ через час: occu…
218;40;40;;;;layout;layout-solver.md;;layout;5;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-02] Сравнивать два движка можно только на ОДНИХ порогах: 5 из 6 «…
219;41;41;;;;layout;layout-solver.md;;layout;1;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-02] Пороговые правила писать с зазором к соседней проверке: предм…
220;42;42;;;;devops;devops-deploy.md;memory;memory;3;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-02] PIL по умолчанию рисует кириллицу «иероглифами» (bitmap-шрифт…
221;43;43;;;;layout;layout-solver.md;;mesh;0;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-02] `buffer()` вокруг статических блокеров (дуга двери) утроил вр…
222;44;44;;;;layout;layout-solver.md;;layout;3;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-02] Прокси-штраф за щели 5–60 см между предметами не только убрал…
223;45;45;;;;devops;devops-deploy.md;;devops;1;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-02] Патч heredoc'ом по точному совпадению блока молча не применил…
224;46;46;;;;layout;layout-solver.md;;layout;4;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-02] Правило, живущее ТОЛЬКО в коде движка (бронь полосы за дивано…
225;47;47;;;;layout;layout-solver.md;viz;layout;1;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-02] Витрина ловит регрессы, которых не видит валидатор: одна гене…
226;48;48;;;;layout;layout-solver.md;;mesh;0;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-03] Мягкие правила блокировали кандидатов наравне с жёсткими: отб…
227;49;49;;;;layout;layout-solver.md;;layout;1;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-03] На первом предмете луч раскрывал 8 позиций вместо своей ширин…
228;50;50;;;;layout;layout-solver.md;;layout;1;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-03] Правило «предмет у той же стены, что и ТВ» не срабатывает в У…
229;51;51;;;;catalog;catalog-stock.md;;catalog;0;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-03] Габариты в фиде путают оси (кашпо «80x40x50 см» приехало как …
230;52;52;;;;viz;viz-render.md;layout;layout;0;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-03] План и кадр рисовались в разных системах координат (кадр норм…
231;53;53;;;;layout;layout-solver.md;;layout;1;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-03] Правило исключения ролей перекрывалось валидатором состава: к…
232;54;54;;;;layout;layout-solver.md;;layout;1;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-03] Правила из открытых источников дают ЧИСЛА (дистанции, процент…
233;55;55;;;;viz;viz-render.md;;viz;1;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-03] Генератор кадра нельзя просить «расставь как дизайнер», если …
234;56;56;;;;viz;viz-render.md;;viz;2;Архив уроков 32–35 (перенесены из core/lessons.md 2026-08-02, вшиты в код);[08-03] Камеру и список «что за её спиной» надо вычислять ИЗ ПЛАНА и …
237;57;57a;;dup;;devops;devops-deploy.md;;devops;5;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Общее правило в `.gitignore` проглотило своё: `tools/*` прята…
238;57;57b;;dup;;memory;memory-process.md;;memory;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Наработки и ключи, лежащие ВНЕ репозитория, для агента не сущ…
239;58;58;;;;viz;viz-render.md;;layout;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] План сверху надёжнее строить на геометрии ПОЛА (лист A4 + sol…
240;59;59;;;;viz;viz-render.md;;viz;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Карта глубины для управления генерацией строится из НАШЕЙ гео…
241;60;60;;;;viz;viz-render.md;;viz;3;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] fal `sdxl-controlnet-union` принимает контроль ИМЕНОВАННЫМ по…
242;61;61;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Камера строилась зеркально плану: `right = fwd × up` вместо `…
243;62;62;;;;viz;viz-render.md;;viz;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Голая коробка на карте глубины читается генератором как тумба…
244;63;63;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Проёмы вровень со стеной на карте глубины невидимы (глубина т…
245;64;64;;;;viz;viz-render.md;;viz;6;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Ортографический вид сверху генерацией по depth НЕ делается: к…
246;65;65;;;;viz;viz-render.md;;viz;6;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] fal `fast-sdxl/image-to-image` без `enable_safety_checker: fa…
247;66;66;;;;viz;viz-render.md;;viz;4;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Проверять кадр надо ПЛАНОМ, а не глазом: `tools/scout/scene_c…
248;67;67;;;;viz;viz-render.md;;viz;7;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Обзор «осмотреться от двери» делаем ОДНОЙ цилиндрической пано…
249;68;68;;;;viz;viz-render.md;;devops;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] В цилиндрической проекции прямая — дуга, поэтому растеризация…
250;69;69;;;;viz;viz-render.md;;layout;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Чего нет в геометрии — то генератор ставит наугад: телевизор …
251;70;70;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Камера должна стоять ПЕРЕД предметом-опорой (передняя грань +…
252;71;71;;;;viz;viz-render.md;memory;viz;3;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Владельцу отдаём не картинку, а полный набор одной ссылкой: п…
253;72;72;;;;viz;viz-render.md;;viz;6;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] «Попросить 3 фотки за один запрос» не работает: `num_images` …
254;73;73;;;;viz;viz-render.md;;viz;5;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Мыло на панораме — от высоты 768 (SDXL резкий на 1024). Высот…
255;74;74;;;;viz;viz-render.md;;viz;11;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Вся генерация идёт через fal.ai: кадры — `fal-ai/sdxl-control…
256;75;75;;;;catalog;catalog-stock.md;viz;catalog;4;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Ф2: фото товаров в `tools/scout/thumbs/` — 100 px по длинной …
257;76;76;;;;viz;viz-render.md;;viz;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Врисовка товара: OpenAI `images/edits` принимает И маску, И ф…
258;77;77;;;;devops;devops-deploy.md;viz;viz;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Артефакты сцен нельзя держать в `/tmp` (tmpfs — чистится при …
259;78;78;;;;viz;viz-render.md;;viz;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Врисовку товаров делаем В ПАНОРАМУ по кропу вокруг маски, а н…
260;79;79;;;;viz;viz-render.md;;viz;3;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Широкий линейный градиент на стыке плиток панорамы = двойная …
261;80;80;;;;viz;viz-render.md;;viz;3;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Экономика решает архитектуру: пообъектная правка нейросетью л…
262;81;81;;;;catalog;catalog-stock.md;viz;catalog;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Фото товара перед вклейкой обязано быть без фона: у дивана вк…
263;82;82;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Проверены три гипотезы владельца «пусть модель сама разместит…
264;83;83;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] OpenAI images/edits принимает до 16 изображений за запрос (по…
265;84;84;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Вклейка фото товара честна только пока грань РАЗВЁРНУТА к кам…
266;85;85;;;;viz;viz-render.md;;viz;6;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Подача покупателю — план + ДВА кадра из диагонально противопо…
267;86;86;;;;viz;viz-render.md;;viz;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Две камеры нельзя выбирать «по покрытию» независимо — жадный …
268;87;87;;;;viz;viz-render.md;;viz;3;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] «Мебель плывёт» — три причины, найдены разбором: (1) на пусты…
269;88;88;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Финальный проход реализма без управления глубиной непригоден:…
270;89;89;;;;viz;viz-render.md;;viz;3;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Фото товара нельзя натягивать на переднюю ПЛОСКОСТЬ коробки: …
271;90;90;;;;viz;viz-render.md;;catalog;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Каждый прогон пишет журнал шагов (`tools/scout/steps.py` → `{…
272;91;91;;;;viz;viz-render.md;;viz;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Отчёт обязан брать итог из ЖУРНАЛА (выход последнего шага), а…
273;92;92;;;;catalog;catalog-stock.md;viz;catalog;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Вырезание фона: замерено на диване — `fal-ai/birefnet/v2` даё…
274;93;93;;;;viz;viz-render.md;;catalog;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Вклейка не должна ломать пропорции фото: снимок ВПИСЫВАЕТСЯ в…
275;94;94;;;;viz;viz-render.md;;viz;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Вклейку нельзя ограничивать силуэтом прокси-коробки: вырезка …
276;95;95;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Камера должна целиться в ЦЕНТР МАССЫ мебели, а не в противопо…
277;96;96;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Декор ставится на поверхности по правилу (`scene_build.derive…
278;97;97;;;;viz;viz-render.md;;viz;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Угол объектива считается под комнату (`fov_for` в `scene.py`)…
279;98;98;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Модели надо давать не только «что», но и «на чём»: разметка н…
280;99;99;;;;viz;viz-render.md;;catalog;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Номер разметки ставится НАД предметом с тонкой выноской и не …
281;100;100;;;;viz;viz-render.md;;viz;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Два номера разметки нельзя ставить столбиком друг под другом …
282;101;101;;;;viz;viz-render.md;;mesh;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Выноска номера должна заканчиваться ТОЧКОЙ ВНУТРИ предмета (б…
283;102;102;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Рабочая формула финального прохода (`viz_final.py`): описание…
284;103;103;;;;viz;viz-render.md;;mesh;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Ковёр ложился поперёк дивана не из-за плана (там он верно, дл…
285;104;104;;;;viz;viz-render.md;;catalog;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Запрет «ничего не поворачивать» в финальном промпте оставлял …
286;105;105;;;;viz;viz-render.md;;viz;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Камеры стоят строго в углах и не подвигаются «чтобы поймать д…
287;106;106;;;;viz;viz-render.md;;viz;3;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Инструмент проверки обязан использовать ТУ ЖЕ проекцию, что и…
288;107;107;;;;viz;viz-render.md;;viz;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] При переходе на стоячие вырезки потерялась проверка ракурса —…
289;108;108;;;;viz;viz-render.md;;viz;3;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Предмет, оказавшийся ЗА камерой, попадал в кадр призраком: пр…
290;109;109;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] В легенду для модели добавлено поле видимости («виден целиком…
291;110;110;;;;viz;viz-render.md;;viz;4;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Коллаж не должен терять предметы: непригодные для вклейки (си…
292;111;111;;;;viz;viz-render.md;;catalog;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Мягкий декор (подушки, плед) не вклеиваем никогда: снимки на …
293;112;112;;;;viz;viz-render.md;;memory;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Правило ракурса применяется ТОЛЬКО к предметам с явным фасадо…
294;113;113;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Основа коллажа — рендер ПУСТОЙ комнаты, объём (серая коробка …
295;114;114;;;;viz;viz-render.md;;viz;3;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Проёмы нельзя утапливать В СТЕНУ: по глубине стена выигрывает…
296;115;115;;;;viz;viz-render.md;layout;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Люстра ставится ВСЕГДА по центру комнаты (классика подвесного…
297;116;116;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Подписи и легенда делаются одинаково для КАЖДОГО вида, и для …
298;117;117;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] В легенду предмет попадает по доле ВИДИМОСТИ САМОГО ПРЕДМЕТА …
299;118;118;;;;viz;viz-render.md;;viz;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Предмет, от которого в кадр попадает менее 15% его собственно…
300;119;119;;;;viz;viz-render.md;;viz;4;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Договор с моделью на финальном проходе (`viz_final.py`, шабло…
301;120;120;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] В промпте не должно быть ручных примеров («пуф обращён к дива…
302;121;121;;;;viz;viz-render.md;;viz;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Паспорт стиля — РЕКОМЕНДАЦИЯ по отделке, цвету, свету и настр…
303;122;122;;;;viz;viz-render.md;;viz;3;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Два вида за один ответ: gpt-image отдаёт ОДИН холст, поэтому …
304;123;123;;;;viz;viz-render.md;;viz;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Формулировки промпта, которые были НЕВЕРНЫ: «фото размещено в…
305;124;124;;;;viz;viz-render.md;;viz;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Шаг дорисовки боковых предметов ПЕРЕЗАПИСЫВАЛ коллаж (`-paste…
306;125;125;;;;viz;viz-render.md;;viz;3;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] gpt-image-2 принимает НЕСТАНДАРТНЫЕ размеры до 3840 px по дли…
307;126;126;;;;viz;viz-render.md;;viz;3;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Флаг «показать запрос» обязан быть ПЕРВЫМ: в `viz_final` шаг …
308;127;127;;;;viz;viz-render.md;;viz;1;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Серый объём вместо невклеенного предмета рисуем ТОЛЬКО для кр…
309;128;128;;;;viz;viz-render.md;;catalog;0;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Где есть ТВ-тумба — телевизор ставится ВСЕГДА (достраивается …
310;129;129;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Два вида отдаём ОДНИМ листом 2048×2864 (кадры 2048×1365, проп…
311;130;130;;;;viz;viz-render.md;;viz;2;Уроки 54–60 (перенесены из core/lessons.md 2026-08-04);[08-04] Нумерация предметов — СКВОЗНАЯ по комплекту (`viz_marks.numbe…
